,nama,brand,harga,terjual,gambar
48,Laptop HP EliteBook 830 G6 i5 8th Gen 16GB RAM 256GB SSD NVMe FHD Windows 11 Pro,Very Good - Refurbished,"IDR4,371,355.89",Only 2 left,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
49,2025 HP Laptop Computer 14 Quad-Core Intel Processor 16GB RAM 628GB Storage,Brand New,"IDR4,804,625.00 to IDR5,137,125.00",17 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
50,"2021 Apple M1 Pro MacBook Pro 16"" 16GB/512GB SSD - (Space Gray) A2485 w/Warranty",Good - Refurbished,"IDR11,028,858.75",122 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
51,Lenovo ThinkPad  FHD Core i5 8TH Gen 64 GB Ram 2TB  SSD Windows 11 Laptop,Good - Refurbished,"IDR4,173,436.71 to IDR11,642,084.96",15 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
52,DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,Good - Refurbished,"IDR2,492,918.75",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
53,"Apple MacBook Pro 14"" 2021 M1 Pro All Colors All Storage All RAM - Excellent",Excellent - Refurbished,"IDR13,233,333.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
54,"2020 Apple M1 MacBook Air 13.3"" 8GB/256GB - (Space Gray) A2337 w/Year Warranty",Good - Refurbished,"IDR5,733,796.25",65 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
55,Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11 Pro,Good - Refurbished,"IDR2,228,248.75",800 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
56,HP EliteBook 845 G7 14” Laptop AMD Ryzen 5 PRO 16GB RAM 256GB SSD Windows 11 Pro,Excellent - Refurbished,"IDR4,548,600.00",238 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
57,"Apple M1 MacBook Air 13"" 8GB 128GB (Space Gray) 2020  A2337 - w/1 Year Warranty",Excellent - Refurbished,"IDR6,338,946.25",95 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
58,"ASUS VivoBook S 15 15.6"" 3K OLED Intel Ultra 7 155H 16GB RAM 1TB SSD W11H Laptop",Certified - Refurbished,"IDR9,592,625.00",157 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
59,New ListingLenovo Thinkpad T15 Gen 2 Intel i7-1185G7 16GB RAM 512GB SSD Win 11 Touch Screen,Pre-Owned,"IDR4,538,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
60,HP EliteBook Light Gaming Laptop 1920x1080 6-Core Ryzen 32GB 512GB SSD Win 11,Good - Refurbished,"IDR5,957,236.25",489 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
61,MacBook Air 13 inch Laptop - Intel Core i7 - 8GB RAM - 256GB SSD - BUNDLE,Pre-Owned,"IDR4,405,625.00",31 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
62,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
63,Shop on eBay,,$479.99,,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
64,"Dell Latitude 7420 Intel i7-1185G7 @3.00GHz 32GB 512GB M.2 14.0"" UHD Win 11 Pro",Excellent - Refurbished,"IDR5,802,125.00",,https://i.ebayimg.com/thumbs/images/g/G8EAAeSwKVdpF0eP/s-l960.webp
65,"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.40 GHz 64GB RAM 4TB SSD",Very Good - Refurbished,"IDR5,319,833.75 to IDR13,266,750.00",,https://i.ebayimg.com/thumbs/images/g/TLAAAeSwww5pHMEJ/s-l960.webp
66,"New ListingAcer Chromebook Plus 516 GE Gaming Laptop 16in, 8GB RAM, 256GB SSD",Pre-Owned,"IDR4,987,500.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
67,New ListingDell Latitude 5590 Laptop Intel Core i5 8th Gen 8GB RAM 512GB M.2 SSD Win 11 Pro,Pre-Owned,"IDR1,994,833.75",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
68,New ListingLenovo Thinkpad T15 Gen 2 Intel i7-1185G7 16GB RAM 512GB SSD Win 11 Touch Screen,Pre-Owned,"IDR4,538,625.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
69,"HP - OmniBook X Flip 2-in-1 - Copilot+ PC - 14"" 2K Touch-Screen Laptop - Inte...",Brand New,"IDR10,806,083.75","1,224 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
70,"Acer 15.6"" Chromebook Plus 515 CB515-2H-31NY 1920x1080 8GB RAM 128GB Refurbished",Certified - Refurbished,"IDR3,158,583.75","1,671 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
71,Dell Latitude E6420 XFR Core i7 CPU 500GB SSD 16GB RAM WIN10 BLACK CARBON,Pre-Owned,"IDR7,388,815.00",,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
72,"HP - 15.6"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB ...",Brand New,"IDR8,312,333.75","2,431 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
73,FAST CHEAP TOP BRAND INTEL CORE i5 8TH GEN 16GB RAM 480GB SSD WINDOWS 11 LAPTOP,Very Good - Refurbished,"IDR2,855,439.96 to IDR5,491,433.46",75 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
74,"Dell - 15.6"" 2K Touchscreen Laptop - Intel Core i7 1355U 2023 - 16GB Memory -...",Brand New,"IDR13,299,833.75","1,618 sold",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
75,"Acer Aspire 3 14""Notebook FHD Intel i3-N305 8GB RAM 128GB SSD 1.8GHz Refurbished",Certified - Refurbished,"IDR2,909,208.75",160 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
76,"Acer Chromebook Spin 511 R752T-C3M5 11.6"" 32GB, Touchscreen 2 n 1 Touch Chrome",Good - Refurbished,"IDR882,621.25",64 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
77,"Lenovo ThinkPad T490s 14"" HD Business Laptop Core i5 8GB RAM 256GB SSD Win 11",Good - Refurbished,"IDR3,334,476.25",509 sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
78,"Dell Latitude 5320 (13.3"", 16GB, 512GB SSD, i5-1145G7 2.60GHz) Win11P, Gray",Good - Refurbished,"IDR3,474,625.00",Only 1 left!,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
