,Unnamed: 0,nama,brand,harga,terjual,gambar
131,131,"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD CX5400FM - w/Warranty",Good - Refurbished,202725250,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
132,132,Lenovo ThinkPad T14 Touchscreen Laptop Intel Core i7 4.90 GHz 48GB RAM 4TB SSD,Very Good - Refurbished,548608375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
133,133,Lenovo Legion Slim 5 Gen 8 14 120Hz QHD+ 3.8GHz Ryzen 7 7840HS 16GB 1TB RTX 4060,Excellent - Refurbished,1462983375,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
134,134,"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core 5 120U with 8GB Memory - 256GB...",Brand New,548608375,58,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
135,135,"HP OmniBook X AI 14-fe0013dx 14"" Touch Elite X1E-78-100 16GB 1TB SSD W11 Laptop",Very Good - Refurbished,698250000,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
136,136,"Apple Macbook Pro 15"" - i7 16GB RAM + 512GB SSD - Great Value + Holiday Gift",Pre-Owned,364087500,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
137,137,"ASUS - Zenbook A14 14"" FHD+ OLED  Snapdragon X Plus 16GB RAM 512GB SSD",Pre-Owned,706545875,1,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
138,138,Acer Nitro V15 Gaming Notebook GeForceRTX4050 Inteli5 16GB 512GB SSD Refurbished,Certified - Refurbished,907708375,3,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
139,139,Dell Latitude Light Gaming Laptop Core i7 4.20GHz Windows 11 64GB RAM 4TB SSD,Very Good - Refurbished,498733375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
140,140,New ListingLenovo YOGA 7 2 IN 1 14IML9 Laptop ULTRA 5 125U 16GB RAM Does Not Power,Parts Only,315858375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
141,141,"Dell Latitude 14"" Light Gaming Laptop 32GB RAM 1TB SSD Intel Core i7 Windows 11",Very Good - Refurbished,731483375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
142,142,"Lenovo YOGA Book 9i 2-in-1 13.3"" Dual Screen Laptop (Ultra 7 155U/16GB/1TB/OLED)",Open Box,1496233375,2,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
143,143,"SGIN 15.6"" Windows 11 Laptop 12GB RAM 1TB SSD Intel Celeron Portable Business PC",Brand New,330820875,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
144,144,New ListingNew Dell Latitude 5440 14” FHD Touch – i5-1335U / 16GB / 256GB SSD / Win 11 / 6E,Brand New,664983375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
145,145,"New ListingHP Pavilion 16-af0010nr 16"" Laptop, Intel Core Ultra 5 125U, 8GB, 512GB, Silver",Open Box,581858375,0,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
